date,mean
2015-01-01,25.420131866351188
2015-01-02,22.428528659899925
2015-01-03,19.38376627579561
2015-01-04,22.490505233165457
2015-01-05,24.207168457174518
2015-01-06,24.014545496373543
2015-01-07,26.844561176611617
2015-01-08,21.58347661493794
2015-01-09,23.423730280449718
2015-01-10,21.97242527191627
2015-01-11,20.32844743047489
2015-01-12,25.225152465223953
2015-01-13,24.421895984077768
2015-01-14,24.10396700524423
2015-01-15,24.431437398875314
2015-01-16,22.248151371570195
2015-01-17,21.648939636687995
2015-01-18,23.7768494716264
2015-01-19,26.065194141550336
2015-01-20,27.000133422538305
2015-01-21,25.416043097707515
2015-01-22,23.924715299850178
2015-01-23,24.447112809413355
2015-01-24,23.97190042808158
2015-01-25,21.93798255593413
2015-01-26,24.080308797440953
2015-01-27,21.402493004153197
2015-01-28,23.86511209104109
2015-01-29,27.42658348709702
2015-01-30,25.84118476615813
2015-01-31,22.390306852286688
2015-02-01,24.132751340743813
2015-02-02,22.649905988680235
2015-02-03,24.234664594860817
2015-02-04,26.482925184310442
2015-02-05,25.747726263294716
2015-02-06,29.450982313490034
2015-02-07,26.90861516699526
2015-02-08,24.972609293725867
2015-02-09,25.959838124203955
2015-02-10,24.241562462100347
2015-02-11,22.432331456597773
2015-02-12,27.339764269265793
2015-02-13,26.787044766168965
2015-02-14,24.327783136748558
2015-02-15,25.398571364014852
2015-02-16,27.373364676545044
2015-02-17,26.62495317030045
2015-02-18,22.046788953339025
2015-02-19,25.500949276223317
2015-02-20,24.7191401170222
2015-02-21,27.321074176558664
2015-02-22,27.197803060121203
2015-02-23,27.81355275593756
2015-02-24,22.98114217097586
2015-02-25,23.689275280311126
2015-02-26,27.526203991548435
2015-02-27,24.15526105028382
2015-02-28,22.336172591981185
2015-03-01,26.484689233669528
2015-03-02,24.365488435305664
2015-03-03,29.079906787928508
2015-03-04,26.133064682498755
2015-03-05,25.901554392759966
2015-03-06,24.882857721309446
2015-03-07,28.843294820295416
2015-03-08,26.41898020605197
2015-03-09,24.925087393188402
2015-03-10,24.194101692762096
2015-03-11,25.675472730790894
2015-03-12,23.90724148165074
2015-03-13,27.960372462470133
2015-03-14,22.32598152674403
2015-03-15,25.703650792159372
2015-03-16,27.242923837624105
2015-03-17,26.746837697535046
2015-03-18,24.667938759475486
2015-03-19,27.46289123294278
2015-03-20,24.41012695055559
2015-03-21,26.177230644290006
2015-03-22,27.5654391821888
2015-03-23,27.227299058428454
2015-03-24,24.991073847825803
2015-03-25,28.775779715225884
2015-03-26,26.593778607380468
2015-03-27,27.945938570623653
2015-03-28,29.557667080074875
2015-03-29,28.773982048016133
2015-03-30,28.818633745222073
2015-03-31,27.00312640580166
2015-04-01,28.24498556651291
2015-04-02,27.123613951560113
2015-04-03,24.317033578381306
2015-04-04,27.380387579356782
2015-04-05,27.32679474679266
2015-04-06,28.020659128076616
2015-04-07,26.636288457794105
2015-04-08,25.408407212614406
2015-04-09,28.283319862955352
2015-04-10,24.382705483464182
2015-04-11,29.96578322086239
2015-04-12,26.624155787215308
2015-04-13,27.616846823554102
2015-04-14,28.281656505780536
2015-04-15,28.384616699837473
2015-04-16,24.423922654114136
2015-04-17,28.928664834281456
2015-04-18,27.92534906739226
2015-04-19,26.087017240805483
2015-04-20,25.896653113320298
2015-04-21,26.76627580717539
2015-04-22,24.875241050329976
2015-04-23,30.95554869999083
2015-04-24,30.521552651619288
2015-04-25,28.49083262272876
2015-04-26,27.178763291581667
2015-04-27,27.269417284484025
2015-04-28,29.217782590611492
2015-04-29,31.255267226845554
2015-04-30,26.636726080420306
2015-05-01,25.58019703951847
2015-05-02,30.948443222341066
2015-05-03,24.316619588131065
2015-05-04,25.91151232591848
2015-05-05,27.472476981396206
2015-05-06,24.882885854259243
2015-05-07,30.26555169367425
2015-05-08,29.792505197987964
2015-05-09,26.966489158880115
2015-05-10,30.712624232818808
2015-05-11,31.08924021536363
2015-05-12,28.001511967851588
2015-05-13,27.36365291652517
2015-05-14,32.82126699603287
2015-05-15,29.78139747630185
2015-05-16,28.888670814140703
2015-05-17,31.13999742456892
2015-05-18,29.053586734686753
2015-05-19,27.47523970058357
2015-05-20,28.68349084029841
2015-05-21,30.637104945603298
2015-05-22,24.611984460998436
2015-05-23,28.05678707577672
2015-05-24,31.43538961891926
2015-05-25,27.68189716151947
2015-05-26,31.834142670871092
2015-05-27,31.60763678968261
2015-05-28,28.683246106699308
2015-05-29,27.71331207228958
2015-05-30,28.31169000856654
2015-05-31,34.25158411962664
2015-06-01,32.70708128658507
2015-06-02,29.244821046971055
2015-06-03,27.813467740342578
2015-06-04,29.299521261441495
2015-06-05,29.588685574406064
2015-06-06,26.649834539623946
2015-06-07,29.33208218915369
2015-06-08,31.852182858731698
2015-06-09,25.64396190872428
2015-06-10,30.93107034917423
2015-06-11,32.06265117535008
2015-06-12,28.227018613775677
2015-06-13,32.77148772612342
2015-06-14,28.037389413234298
2015-06-15,30.33508019930895
2015-06-16,28.874144440139908
2015-06-17,28.9083952137019
2015-06-18,28.32241068092041
2015-06-19,30.9887030385023
2015-06-20,31.323628203517426
2015-06-21,29.53155964703713
2015-06-22,26.974775516699758
2015-06-23,30.535280908670522
2015-06-24,30.60711825381255
2015-06-25,29.363728395710396
2015-06-26,33.565609396858406
2015-06-27,26.737195814802163
2015-06-28,25.46431316282549
2015-06-29,28.470955338780662
2015-06-30,31.3871366777754
2015-07-01,27.888178324145198
